Number,Question,Answer
108,"请回答以下单选题。要求只输出选项，不输出解释性文字：
桡骨小头半脱位常见发生年龄及常用处理方法，是：
A：5～10岁小儿，手法复位，三角巾悬吊，B：6～8岁小儿，手法复位，C：10岁儿童，切开复位内固定，D：5岁以下幼儿，手法复位，三角巾悬吊，E：成年人，切开复位内固定",D
109,"请回答以下单选题。要求只输出选项，不输出解释性文字：
桡骨小头半脱位的复位方法是：
A：Hippocrates法，B：骨牵引复位法，C：切开复位法，D：Allis法，E：无需牵引，仅用旋转法",E
110,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关肘管综合征的临床特点，下列选项不正确的是：
A：肘管综合征是尺神经的慢性损伤，B：肘管综合征的最常见病因是肘外翻，C：手背尺侧、小鱼际、小指及环指尺侧感觉麻木常为首发症状，D：治疗方法为手术治疗，E：已萎缩的手部小肌肉术后可较快恢复，而手部感觉可缓慢恢复正常",E
111,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列选项中，哪项不是肘管综合征的临床表现：
A：肘区疼痛，B：环、小指区麻木，C：手内肌不同程度萎缩，D：爪形手，E：手掌桡侧半皮肤感觉障碍",E
112,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肘管的描述，下列说法错误的是：
A：肘管位于肘关节前方，是纤维性骨性通道，B：前壁为尺侧副韧带，C：后壁为 Osborne韧带，D：内侧壁为肱骨内上髁及尺侧腕屈肌的肱骨头，E：外侧壁由尺骨鹰嘴、尺侧腕屈肌尺骨头构成",A
113,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肘管综合征，下列哪项可能导致发病：
A：陈旧性骨折，B：肘关节风湿或类风湿关节炎，C：尺神经反复脱位，D：长期屈肘工作，E：以上均可导致",E
114,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于肘管综合征，下列哪项体征是错误的：
A：手内在肌及小鱼际肌萎缩，B：猿手，C： Tinel 征阳性，D：Froment 试验阳性，E：夹纸无力",B
115,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于腕管综合征，是下列哪个结构在腕管内受压所致：
A：尺神经，B：尺动脉，C：桡神经，D：桡动脉，E：正中神经",E
116,"请回答以下单选题。要求只输出选项，不输出解释性文字：
不是腕管综合征症状的有：
A：大鱼际肌萎缩症，B：手力减退，C：拇指对小指运动障碍，D：爪样手，E：拇指无力",D
117,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列选项中，哪项不是腕管综合征的临床表现：
A：手掌桡侧半皮肤感觉障碍，B：夜间或清晨手部疼痛，活动后减轻，C：轻叩腕掌侧有过电感，D：大鱼际肌萎缩，E：Phalen试验阳性",A
118,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项属于腕管综合征的临床表现：
A：拇指、食指、中指的桡侧的三个手指麻木，B：患手活动不灵，执行精细动作时手感笨拙，C：肌肉软弱，D：拇指和食指严重发绀，E：以上症状均可出现",E
119,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于腕管综合征，下列体征为阳性的是：
A：Finkelstein征，B：Tinel征，C：Mills征，D：Lasegue征，E：Thomas征",B
120,"请回答以下单选题。要求只输出选项，不输出解释性文字：
有关狭窄性腱鞘炎，下列不正确的是：
A：病变不仅限于屈肌腱鞘，B：腱鞘炎局部封闭有效，C：病变部位多在拇指掌指关节掌侧，D：晨僵疼痛，活动后好转，E：局部压痛",D
121,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列情况不是狭窄性腱鞘炎体征的是：
A：弹响指，B：弹响拇，C：扳机指，D：Mills征，E：握拳尺偏试验阳性",D
122,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于桡骨茎突狭窄性腱鞘炎，下列体征为阳性的是：
A：Finkelstein征，B：Mills征，C：Lasegue征，D：Thomas征，E：Dugas征",A
123,"请回答以下单选题。要求只输出选项，不输出解释性文字：
狭窄性腱鞘炎最常发生的部位是：
A：手与腕部，B：肘部，C：肩部，D： 踝部，E：足趾部",A
124,"请回答以下单选题。要求只输出选项，不输出解释性文字：
狭窄性腱鞘炎，疗效较好的方法是：
A：理疗 ，B：限制活动和石膏固定，C：口服非甾体消炎药物 ，D：外用药物敷贴，E：醋酸强的松局部封闭",E
125,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪种情况，TFCC不易损伤：
A：网球、高尔夫球、羽毛球等运动者快速扭转手腕，B：车祸中司机手握方向盘腕部受到旋转牵张暴力，C：手肘着地摔倒，D：突然摔倒时用手撑地，E：提重物不慎或手腕用力不当时扭伤",C
126,"请回答以下单选题。要求只输出选项，不输出解释性文字：
关于TFCC损伤急性期的处理，下列处理错误的是：
A：抬高患肢，B：冰敷患处，C：加压包扎，D：立即手术治疗，E：休息",D
127,"请回答以下单选题。要求只输出选项，不输出解释性文字：
下列选项中，哪项不是TFCC损伤的临床表现：
A：手腕尺侧疼痛，B：手腕活动受限，C：手腕旋转困难，D：手腕力量减退，E：手腕有包块凸出",E
128,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项结构不参与构成TFCC：
A：桡侧副韧带，B：桡尺韧带，C：尺月韧带，D：尺三角韧带，E：三角纤维软骨盘",A
129,"请回答以下单选题。要求只输出选项，不输出解释性文字：
以下哪项检查不能用于检查TFCC损伤：
A：Sharpey's Test，B：Piano key Test，C：UTD Glide Test，D：TFCC Load Test，E：Thompson Test",E
