Number,Question,Answer
76,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，30岁，篮球运动员，比赛中受伤，查体发现踝关节前抽屉试验阳性。以下哪项是踝关节韧带断裂急性期的治疗原则：
A：早期冷敷，B：支具固定，C：高强度康复训练，D：长期使用非甾体抗炎药，E：按摩理疗",A
77,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，25岁，在篮球比赛中扭伤脚踝，出现剧烈疼痛和肿胀。她尝试站立时脚踝无力，难以行走，MRI检查提示踝关节外侧韧带完全断裂。关于踝关节韧带断裂，下列哪项是正确的：
A：韧带断裂后无需特殊处理，肿胀消退后即可恢复正常，B：韧带断裂患者通常不需康复治疗，C：韧带断裂后应避免早期活动，以防加重损伤，D：韧带断裂后的典型症状是局部发热，无明显肿胀，E：韧带断裂的诊断不需要影像学检查",C
78,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，27岁，喜好网球运动，右肘关节外侧疼痛2个月。加重5天.持物无力。体检：除右肘关节外侧局限性压痛外，下列哪项检查最有助于诊断：
A：Froment试验，B：Finkelstein试验，C：Mills试验，D：Gaenslen试验，E：Dugas试验",C
79,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，右肘外侧痛2个月，用力握掌或拧毛巾时疼痛加重，右肘外侧局限性压痛，Mills征阳性，其诊断为：
A：髌骨软化症，B：颈椎病，C：肱骨外上髁炎，D：肩周炎，E：桡骨茎突狭窄性腱鞘炎",C
80,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，主诉肘关节外侧疼痛，尤其在用力握拳、抬腕时加重。以下哪项不是肱骨外上髁炎的病因：
A：长期重复性使用手、腕及肘部操作，B：长期从事网球运动，C：肘关节外伤史，D：长期使用振动性工具的工作，E：以上都是",C
81,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，主诉肘关节外侧疼痛，尤其在用力握拳、抬腕时加重。以下哪项是肱骨外上髁炎的预后因素：
A：治疗的及时性，B：患者的年龄，C：治疗方法选择，D：工作方式，E：所有以上因素",E
82,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者，男，17岁，右肘部摔伤2d。右肘关节肿胀，压痛明显，活动受限，内上髁处有骨擦感。首选哪项检查对诊断有意义：
A：CT，B：X线摄片，C：B超，D：核素骨扫描，E：MRI",B
83,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，50岁，主诉肘关节疼痛，X线片显示肘关节骨质增生。以下哪项是肘关节畸形的治疗原则：
A：早期进行肢体功能锻炼，B：避免患肢过早负重及重体力活动，C：长期制动，D：立即进行高强度康复训练，E：立即手术治疗",B
84,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，45岁，骑车时摔倒致右肘关节受伤，肘后三角关系异常，该患者最有可能的诊断为：
A：肱骨外上髁炎，B：肘关节畸形，C：肘关节脱位，D：桡骨小头半脱位，E：肘管综合征",C
85,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，32岁，在足球比赛中摔倒，右手先着地，感觉肘部剧烈疼痛并无法正常活动。急诊检查发现右肘肿胀，关节明显畸形，X线显示右肘关节完全脱位，但未见骨折。该患者最可能的治疗方式是以下哪种：
A：立即手术，修复韧带，B：进行手法复位，后续短期石膏固定，C：直接给予消炎药，观察其自然恢复，D：使用长臂支具固定，无需手法复位，E：等待1-2周后复位，以减少再脱位的风险",B
86,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，25岁，骑自行车摔倒，导致右肘关节脱位，随后在急诊进行复位。复位成功后，医生建议后续恢复期进行康复训练。以下哪项是该患者康复期内最重要的护理目标：
A：避免任何形式的肘关节活动，以预防再脱位，B：立即进行高强度抗阻训练以恢复力量，C：控制肿胀和疼痛，并逐步增加肘关节的活动范围，D：仅进行腕关节活动，避免牵拉肘关节，E：使用支具固定6个月，避免关节活动",C
87,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，3岁，被家长牵拉手臂后出现哭闹，不愿活动肘关节。查体发现桡骨头部位压痛。最可能的诊断是：
A：肱骨外上髁炎，B：肘关节畸形，C：肘关节脱位，D：桡骨小头半脱位，E：肘管综合征",D
88,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，4岁，被家长牵拉手臂后出现哭闹，不愿活动肘关节。查体发现桡骨头部位压痛。该患儿需采取的治疗方法是：
A：Hippocrates法，B：骨牵引复位法，C：切开复位法，D：Allis法，E：无需牵引，仅用旋转法",E
89,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，主诉肘部疼痛，尤其在屈肘时加重，查体发现肘部尺神经滑脱、增粗。最可能的诊断是：
A：肱骨外上髁炎，B：肘关节畸形，C：肘关节脱位，D：桡骨小头半脱位，E：肘管综合征",E
90,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，主诉肘部疼痛，尤其在屈肘时加重，查体发现肘部尺神经滑脱、增粗。以下哪项是肘管综合征的预防措施：
A：避免长时间屈肘动作，B：避免枕肘睡眠，C：多活动肘部，D：尽量避免长期重复性使用手、腕及肘部操作，E：以上所有措施",E
91,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，51岁，左肘疼痛10年，长期进行零件装配工作，考虑诊断“肘管综合征”，下列哪项体征不符合肘管综合征的临床表现：
A：手内在肌及小鱼际肌萎缩，B：猿手，C： Tinel 征阳性，D：Froment 试验阳性，E：夹纸无力",B
92,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，45岁，主诉手腕疼痛，尤其在夜间加重，查体发现握力减弱。最可能的诊断是：
A：腕管综合征，B：狭窄性腱鞘炎，C：肘管综合征，D：腕关节炎，E：三角纤维软骨复合体损伤",A
93,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，40岁，主诉手腕疼痛，尤其在使用电脑鼠标时加重。以下哪项不是腕管综合征的病因：
A：长期重复性手腕活动，B：长期高负荷举重训练，C：内分泌系统疾病，D：手腕部外伤史，E：以上都不是",D
94,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，28岁，左腕疼痛6月，查体发现握力减弱。以下哪项是腕管综合征的预防措施：
A：避免长时间手腕过度屈曲，B：定期进行手腕伸展运动，C：长期使用手腕支撑垫，D：避免长时间维持手腕同一姿势，E：以上所有措施",E
95,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，53岁，长期做家务，右腕疼痛3年，口服止痛药后无缓解，考虑诊断“腕管综合征”。下列体征中，该患者可能为阳性的是：
A：Finkelstein征，B：Tinel征，C：Mils征，D：Lasegue征，E：Thomas征",B
96,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，48岁，患左拇指狭窄性腱鞘炎2周，此时最简便、有效的治疗方法是：
A：制动，B：腱鞘切开术，C：醋酸泼尼松龙局封，D：理疗，E：局部注射抗生素",C
97,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，42岁，右拇指活动弹响伴右拇指间关节明显疼痛半年，右拇指不能主动伸直半天。检查：右第1掌指关节掌面可及黄豆大小质硬结节，压痛明显，被动屈伸右拇指可于结节处触及弹响。诊断为：
A：拇长屈肌腱腱鞘炎，B：腱鞘囊肿，C：风湿结节，D：肿瘤，E：骨关节病",A
98,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者女性，31岁，左腕关节疼痛1个月，左腕桡侧有局限性压痛，Finkelstein试验阳性，诊断是：
A：髌骨软化症，B：颈椎病，C：肱骨外上髁炎，D：肩周炎，E：桡骨茎突狭窄性腱鞘炎",E
99,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，35岁，长期使用震动工具工作，主诉手腕疼痛，考虑诊断“狭窄性腱鞘炎”。以下哪项不是狭窄性腱鞘炎的临床表现：
A：手腕掌侧疼痛，B：屈伸手指时疼痛加重，C：握力减弱，D：手腕背侧肿胀，E：手腕桡侧压痛",D
100,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，30岁，长期使用鼠标和键盘工作，右侧手腕疼痛2月，考虑诊断“狭窄性腱鞘炎”，对于该患者疗效较好的方法是：
A：理疗 ，B：限制活动和石膏固定，C：口服非甾体消炎药物 ，D：外用药物敷贴，E：醋酸强的松局部封闭",E
101,"基于案例回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
患者男性，52岁，骑车摔倒左手着地后，左腕疼痛6小时，考虑TFCC损伤。以下哪项不是TFCC损伤的临床表现：
A：手腕尺侧疼痛，B：手腕活动受限，C：手腕旋转困难，D：手腕力量减退，E：手腕有包块凸出",E
